"PATHWAY SORTORDER","BIOCHEMICAL","SUPER PATHWAY","SUB PATHWAY","COMP ID","PLATFORM","CHEMICAL ID","RI","MASS","PUBCHEM","CAS","KEGG","Group                 HMDB"
"1441","(12 or 13)-methylmyristate (a15:0 or i15:0)","Lipid","Fatty Acid, Branched","38293","LC/MS Neg","100002344","5499","241.21729999999999","151014","2485-71-4",NA,NA
"1444","(14 or 15)-methylpalmitate (a17:0 or i17:0)","Lipid","Fatty Acid, Branched","38768","LC/MS Neg","100002945","5695","269.24869999999999","17903417",NA,NA,NA
"1448","(16 or 17)-methylstearate (a19:0 or i19:0)","Lipid","Fatty Acid, Branched","38296","LC/MS Neg","100002356","5993","297.2799","3083779","2724-59-6",NA,"HMDB37397"
"4599","(2,4 or 2,5)-dimethylphenol sulfate","Xenobiotics","Food Component/Plant","62533","LC/MS Neg","100020519","3474","201.02269999999999",NA,NA,NA,NA
"1668","(R)-3-hydroxybutyrylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","43264","LC/MS Pos Early","100003926","2400","248.14930000000001","53481617",NA,NA,"HMDB13127"
"1669","(S)-3-hydroxybutyrylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","52984","LC/MS Pos Early","100009271","2340","248.14930000000001",NA,NA,NA,"HMDB13127"
"2496","1-(1-enyl-oleoyl)-GPE (P-18:1)*","Lipid","Lysoplasmalogen","44621","LC/MS Pos Late","100005372","1566","464.31360000000001",NA,NA,NA,NA
"2473","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","Lipid","Plasmalogen","52689","LC/MS Pos Late","100009014","2154","766.57449999999994",NA,NA,NA,"HMDB11220"
"2465","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","Lipid","Plasmalogen","52673","LC/MS Pos Late","100009002","2270","724.52760000000001",NA,NA,NA,"HMDB11352"
"2474","1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","Lipid","Plasmalogen","52682","LC/MS Pos Late","100009009","2226","742.57449999999994",NA,NA,NA,"HMDB11211"
"2462","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","Lipid","Plasmalogen","52677","LC/MS Pos Late","100009069","2351","700.52760000000001",NA,NA,NA,"HMDB11343"
"2467","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","Lipid","Plasmalogen","52478","LC/MS Pos Late","100009007","2443","744.59019999999998",NA,NA,NA,NA
"2461","1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","Lipid","Plasmalogen","52477","LC/MS Pos Late","100009005","2600","702.54319999999996",NA,NA,NA,"HMDB11342"
"2464","1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","Lipid","Plasmalogen","52713","LC/MS Pos Late","100009160","2218","716.55889999999999",NA,NA,NA,"HMDB11207"
"2463","1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","Lipid","Plasmalogen","52716","LC/MS Pos Late","100009162","2454","718.57449999999994","11146967",NA,NA,"HMDB11206"
"2493","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","Lipid","Lysoplasmalogen","52474","LC/MS Pos Late","100002875","1547","480.3449","10917802",NA,NA,"HMDB10407"
"2494","1-(1-enyl-palmitoyl)-GPE (P-16:0)*","Lipid","Lysoplasmalogen","39270","LC/MS Pos Late","100003000","1558","438.29790000000003",NA,NA,NA,NA
